2020-04-15 22:33:05,576 - INFO - ####################################
2020-04-15 22:33:05,576 - INFO - ############Loading Model###########
2020-04-15 22:33:05,576 - INFO - ####################################
2020-04-16 15:40:02,849 - INFO - Env 31, Goal (-10.2, -04.3), Episode 00000, setp 123, Reward -46.2, Crashed,
2020-04-16 15:40:02,849 - INFO - Env 28, Goal (-07.2, -13.5), Episode 00000, setp 077, Reward -36.5, Crashed,
2020-04-16 15:40:02,849 - INFO - Env 26, Goal (-13.8, -15.7), Episode 00000, setp 037, Reward -39.6, Crashed,
2020-04-16 15:40:02,850 - INFO - Env 30, Goal (-07.2, -06.5), Episode 00000, setp 114, Reward -46.5, Crashed,
2020-04-16 15:40:02,853 - INFO - Env 27, Goal (-10.2, -15.7), Episode 00000, setp 032, Reward -41.0, Crashed,
2020-04-16 15:40:02,853 - INFO - Env 29, Goal (-06.0, -10.0), Episode 00000, setp 201, Reward -29.6, Time out,
2020-04-16 15:40:03,173 - INFO - Env 36, Goal (017.8, -03.0), Episode 00001, setp 001, Reward -52.4, Crashed,
2020-04-16 15:40:03,194 - INFO - Env 38, Goal (014.4, -17.9), Episode 00001, setp 001, Reward -52.7, Crashed,
2020-04-16 15:40:03,194 - INFO - Env 34, Goal (016.0, -14.9), Episode 00001, setp 001, Reward -41.3, Crashed,
2020-04-16 15:40:03,194 - INFO - Env 35, Goal (009.2, -03.3), Episode 00001, setp 036, Reward -55.3, Crashed,
2020-04-16 15:40:03,194 - INFO - Env 37, Goal (016.2, -13.2), Episode 00001, setp 055, Reward -39.9, Crashed,
2020-04-16 15:40:03,195 - INFO - Env 40, Goal (015.2, -16.2), Episode 00001, setp 001, Reward -49.3, Crashed,
2020-04-16 15:40:03,196 - INFO - Env 39, Goal (017.7, -13.4), Episode 00001, setp 001, Reward -35.9, Crashed,
2020-04-16 15:40:03,196 - INFO - Env 42, Goal (011.8, -01.2), Episode 00001, setp 001, Reward -55.0, Crashed,
2020-04-16 15:40:03,197 - INFO - Env 43, Goal (013.7, -04.1), Episode 00001, setp 001, Reward -38.0, Crashed,
2020-04-16 15:40:03,197 - INFO - Env 41, Goal (010.9, -14.7), Episode 00001, setp 018, Reward -36.4, Crashed,
2020-04-16 15:40:04,874 - INFO - Env 08, Goal (003.0, 003.0), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:04,874 - INFO - Env 07, Goal (000.0, 003.0), Episode 00003, setp 047, Reward -42.7, Crashed,
2020-04-16 15:40:04,876 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:04,892 - INFO - Env 09, Goal (005.0, 003.0), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:05,947 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00001, setp 001, Reward -42.5, Crashed,
2020-04-16 15:40:05,947 - INFO - Env 04, Goal (-12.5, 004.0), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:05,947 - INFO - Env 03, Goal (-07.0, 009.5), Episode 00001, setp 058, Reward -36.1, Crashed,
2020-04-16 15:40:05,948 - INFO - Env 05, Goal (-12.5, 017.0), Episode 00001, setp 036, Reward -44.0, Crashed,
2020-04-16 15:40:05,950 - INFO - Env 02, Goal (-07.0, 011.5), Episode 00001, setp 001, Reward -42.5, Crashed,
2020-04-16 15:40:05,947 - INFO - Env 01, Goal (-18.0, 009.5), Episode 00001, setp 022, Reward -40.2, Crashed,
2020-04-16 15:40:07,408 - INFO - Env 11, Goal (012.0, 010.0), Episode 00003, setp 053, Reward -23.4, Crashed,
2020-04-16 15:40:07,408 - INFO - Env 14, Goal (018.0, 010.0), Episode 00003, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:07,408 - INFO - Env 10, Goal (010.0, 010.0), Episode 00003, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:07,408 - INFO - Env 13, Goal (016.0, 010.0), Episode 00003, setp 057, Reward -23.8, Crashed,
2020-04-16 15:40:07,408 - INFO - Env 12, Goal (014.0, 010.0), Episode 00003, setp 044, Reward -23.9, Crashed,
2020-04-16 15:40:09,664 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00002, setp 056, Reward -39.3, Crashed,
2020-04-16 15:40:09,664 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00002, setp 035, Reward -44.5, Crashed,
2020-04-16 15:40:09,665 - INFO - Env 23, Goal (005.5, -05.5), Episode 00002, setp 001, Reward -47.5, Crashed,
