2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:09:32,428 - INFO - ############Loading Model###########
2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ############Loading Model###########
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:11:04,050 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00080, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,051 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00081, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,051 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00082, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,052 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00083, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,052 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00084, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,053 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00085, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,053 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00086, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,054 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00087, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,054 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00088, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,055 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00089, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,055 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00090, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,056 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00091, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,056 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00092, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,057 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00093, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,057 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00094, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,058 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00095, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,058 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00096, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,059 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00097, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,059 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00098, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,060 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00099, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,060 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00100, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,061 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00101, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,061 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00102, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,062 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00103, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,062 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00104, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,063 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00105, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,063 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00106, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,064 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00107, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,064 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00108, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,065 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00109, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,065 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00110, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,066 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00111, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,066 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00112, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,067 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00113, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,067 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00114, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,068 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00115, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,068 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00116, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,069 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00117, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,069 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00118, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,070 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00119, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,070 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00120, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,071 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00121, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,071 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00122, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,072 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00123, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,072 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00124, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,073 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00125, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,073 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00126, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,074 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00127, setp 000, Reward 0.0  , 1,
